NAME,BYTES
./collects/racket/private/map.rkt.out.sexp,4097
./collects/racket/private/member.rkt.out.sexp,1597
./collects/racket/private/misc.rkt.out.sexp,8389
./collects/racket/private/modbeg.rkt.out.sexp,330
./collects/racket/private/more-scheme.rkt.out.sexp,26298
./collects/racket/private/name.rkt.out.sexp,1166
./collects/racket/private/namespace.rkt.out.sexp,1968
./collects/racket/private/norm-arity.rkt.out.sexp,1926
./collects/racket/private/norm-define.rkt.out.sexp,13150
./collects/racket/private/old-path.rkt.out.sexp,1906
./collects/racket/private/path-list.rkt.out.sexp,975
./collects/racket/private/path.rkt.out.sexp,4399
./collects/racket/private/performance-hint.rkt.out.sexp,282
./collects/racket/private/portlines.rkt.out.sexp,1019
./collects/racket/private/port.rkt.out.sexp,7087
./collects/racket/private/pre-base.rkt.out.sexp,6151
./collects/racket/private/procedure-alias.rkt.out.sexp,149
./collects/racket/private/qq-and-or.rkt.out.sexp,10940
./collects/racket/private/qqstx.rkt.out.sexp,10532
./collects/racket/private/reading-param.rkt.out.sexp,571
./collects/racket/private/reqprov.rkt.out.sexp,55555
./collects/racket/private/reverse.rkt.out.sexp,333
./collects/racket/private/runtime-path-table.rkt.out.sexp,111
./collects/racket/private/sc.rkt.out.sexp,31347
./collects/racket/private/sequence.rkt.out.sexp,4144
./collects/racket/private/serialize.rkt.out.sexp,28110
./collects/racket/private/serialize-structs.rkt.out.sexp,1398
./collects/racket/private/set.rkt.out.sexp,64191
./collects/racket/private/shared-body.rkt.out.sexp,36266
./collects/racket/private/small-scheme.rkt.out.sexp,11
./collects/racket/private/sort.rkt.out.sexp,52688
./collects/racket/private/so-search.rkt.out.sexp,1674
./collects/racket/private/stream-cons.rkt.out.sexp,5301
./collects/racket/private/streams.rkt.out.sexp,2213
./collects/racket/private/string.rkt.out.sexp,63800
./collects/racket/private/struct-info.rkt.out.sexp,3231
./collects/racket/private/struct.rkt.out.sexp,3507
./collects/racket/private/stxcase.rkt.out.sexp,16062
./collects/racket/private/stxcase-scheme.rkt.out.sexp,2900
./collects/racket/private/stxloc.rkt.out.sexp,4276
./collects/racket/private/stxparamkey.rkt.out.sexp,5780
./collects/racket/private/stxparam.rkt.out.sexp,3090
./collects/racket/private/stx.rkt.out.sexp,3155
./collects/racket/private/submodule.rkt.out.sexp,2301
./collects/racket/private/tethered-installer.rkt.out.sexp,1632
./collects/racket/private/this-expression-source-directory.rkt.out.sexp,4675
./collects/racket/private/top-int.rkt.out.sexp,278
./collects/racket/private/unit-compiletime.rkt.out.sexp,29525
./collects/racket/private/unit-contract.rkt.out.sexp,32543
./collects/racket/private/unit-contract-syntax.rkt.out.sexp,62972
./collects/racket/private/unit-keywords.rkt.out.sexp,1783
./collects/racket/private/unit-runtime.rkt.out.sexp,3991
./collects/racket/private/unit-syntax.rkt.out.sexp,21269
./collects/racket/private/unit-utils.rkt.out.sexp,9451
./collects/racket/private/unix-rand.rkt.out.sexp,367
./collects/racket/private/vector-wraps.rkt.out.sexp,1807
./collects/racket/private/windows-rand.rkt.out.sexp,13657
./collects/racket/private/with-stx.rkt.out.sexp,3512
./collects/racket/promise.rkt.out.sexp,9136
./collects/racket/provide.rkt.out.sexp,1991
./collects/racket/provide-syntax.rkt.out.sexp,1891
./collects/racket/provide-transform.rkt.out.sexp,5641
./collects/racket/random.rkt.out.sexp,12652
./collects/racket/require.rkt.out.sexp,8446
./collects/racket/require-syntax.rkt.out.sexp,1872
